location,state
denver,colorado
mesa,colorado
colorado-springs,colorado
weld,colorado
boulder,colorado
larimer,colorado
colorado,state
savannah,georgia
floyd,georgia
hall,georgia
marietta,georgia
macon,georgia
henry,georgia
cherokee,georgia
athens,georgia
south-augusta,georgia
columbus,georgia
la-grange,georgia
georgia,state
indianapolis,indiana
indiana,state
bangor,maine
portland,maine
maine,state
baltimore,maryland
frederick,maryland
montgomery,maryland
harford,maryland
maryland,state
worcester,massachusetts
pittsfield,massachusetts
boston,massachusetts
springfield,massachusetts
new-bedford,massachusetts
lynn,massachusetts
massachusetts,state
st-paul,minnesota
duluth,minnesota
minneapolis,minnesota
st-cloud,minnesota
rochester,minnesota
minnesota,state
columbia,south-carolina
greenville,south-carolina
florence,south-carolina
charleston,south-carolina
rock-hill,south-carolina
horry,south-carolina
south-carolina,state
houston,texas
san-antonio,texas
beaumont,texas
el-paso,texas
austin,texas
dallas,texas
texas,state
provo,utah
salt-lake-city,utah
ogden,utah
utah,state
roanoke,virginia
virginia,state
nyc,new york
nenc,north-carolina
senc,north-carolina
fay-area,north-carolina
rtp-area,north-carolina
triad-area,north-carolina
wnc,north-carolina
clt-area,north-carolina
north-carolina,state
portland-or,oregon
salem,oregon
deschutes,oregon
eugene,oregon
medford,oregon
oregon,state
